timestamp,title,summary,link,source
2025-05-25T01:57:00Z,WATCH: Liberty's Natasha Cloud strips Caitlin Clark in final seconds to secure thrilling win over Fever - CBS Sports,Clark couldn't get a shot off on the final possession thanks to Cloud's incredible defense,https://www.cbssports.com/wnba/news/watch-libertys-natasha-cloud-strips-caitlin-clark-in-final-seconds-to-secure-thrilling-win-over-fever/,newsapi
2025-05-25T00:35:44Z,"1 dead, 2 injured after sewage vessel explodes on Hudson River: FDNY - ABC News",,https://abcnews.go.com/US/1-dead-2-injured-after-sewage-vessel-explodes/story?id\\u003d122164799,newsapi
2025-05-24T22:29:05Z,Brin’s Mystery $700 Million Stock Gift Went to Philanthropies - Bloomberg.com,"Sergey Brin’s mystery gift this week of Alphabet Inc. shares valued at almost $700 million went to a trio of philanthropic organizations, according to a spokesperson for his family office.",https://www.bloomberg.com/news/articles/2025-05-24/brin-s-mystery-700-million-stock-gift-went-to-philanthropies,newsapi
2025-05-24T22:15:33Z,2nd case of measles confirmed in Virginia - WTOP,"A second case of measles has been confirmed in Virginia this year, health officials said on Friday.",https://wtop.com/virginia/2025/05/2nd-case-of-measles-has-been-confirmed-in-virginia/,newsapi
2025-05-24T21:31:16Z,Chrissy Teigen Reveals She Underwent a ‘Hairline Lowering Procedure’ After Photo of Her Bandaged Face Goes Viral - Yahoo News Canada,Chrissy Teigen revealed on her Instagram Stories on May 23 that she underwent a 'hairline lowering procedure' after she reportedly shared a video of herself with a bandaged face in a hospital bed earlier this week.,https://people.com/chrissy-teigen-underwent-hairline-lowering-procedure-11741496,newsapi
2025-05-24T21:26:32Z,Marjorie Taylor Greene: Teen Detained By ICE After Mistaken Arrest Would Be 'Thriving In Mexico' - HuffPost,"Ximena Arias-Cristobal, an undocumented 19-year-old who came to the U.S. when she was 4, has been released from ICE custody.",https://www.huffpost.com/entry/ximena-arias-cristobal-released-ice-mtg_n_68322292e4b0f2b0b14827f8,newsapi
2025-05-24T21:23:19Z,Iranian director Jafar Panahi's 'It Was Just An Accident' wins Palme d'Or at Cannes - NPR,The dissident filmmaker's thriller is a stinging critique of oppression in his home country.,https://www.npr.org/2025/05/24/nx-s1-5410502/jafar-panahi-it-was-just-an-accident-cannes,newsapi
2025-05-24T19:57:00Z,9 of a doctor’s 10 children are killed in Israel’s latest strikes in Gaza - AP News,Gaza's Health Ministry says the bodies of 79 people killed by Israeli strikes have been brought to hospitals in the past 24 hours. The toll doesn’t include hospitals in the battered north that the ministry says are now inaccessible. Nine of a doctor’s 10 chil…,https://apnews.com/article/gaza-israel-palestinians-war-news-8c3fe634bd81986249a235ad53a9044c,newsapi
2025-05-24T19:33:20Z,Russian strikes kill 13 and injure scores of civilians - BBC,At least 13 people were killed the the latest Russian aerial attack across Ukraine,https://www.bbc.com/news/articles/cy908n4vr0jo,newsapi
2025-05-24T19:01:45Z,Arsenal stun Barcelona to win the Women’s Champions League - Al Jazeera,Arsenal lift the UEFA Women’s Champions League with a 1-0 win that ended Barcelona’s hopes of a three-peat.,https://www.aljazeera.com/sports/2025/5/24/arsenal-stun-barcelona-to-win-the-womens-champions-league,newsapi
2025-05-24T17:57:38Z,Trump Greenlights US Steel Merger Despite Campaign Promise to Scrap Deal - Truthout,"""Our concern remains that Nippon, a foreign corporation with a long and proven track record of violating our trade laws, will further erode domestic steelmaking capacity and jeopardize thousands of good, union jobs.""",https://www.commondreams.org/news/trump-us-steel,newsapi
2025-05-24T17:17:05Z,Sophie Turner Praises Ex-Husband Joe Jonas’ New Album ‘Music for People Who Believe in Love’ - Just Jared,Read more,https://www.justjared.com/2025/05/24/sophie-turner-praises-ex-husband-joe-jonas-new-album-music-for-people-who-believe-in-love/,newsapi
