timestamp,title,summary,link,source
2025-05-21T13:53:00Z,"George Wendt, actor who played Norm on ‘Cheers,’ dead at 76 - CNN","George Wendt, an actor and comedian who was beloved for his performance as Norm Peterson on the long-running comedy series “Cheers” has died, according to his publicist.",https://www.cnn.com/2025/05/20/entertainment/george-wendt-death,newsapi
2025-05-21T13:50:38Z,Retailers feel pressure to eat the price increases from tariffs - NPR,"From Target to Walmart, retailers are fighting two battles at once: a financial battle to keep costs low in the face of new tariffs, and a political one to avoid the president's wrath.",https://www.npr.org/2025/05/21/nx-s1-5405407/trump-tariff-target-home-depot-walmart,newsapi
2025-05-21T13:50:15Z,Starmer announces U-turn on winter fuel payment cuts - BBC,The prime minister said the government would re-examine eligibilty for the pension top-up payment.,https://www.bbc.com/news/articles/c93yy2x40e0o,newsapi
2025-05-21T13:47:00Z,Lions pull proposal to change NFL playoff seeding - ESPN,The Lions have withdrawn their rule proposal that would have seeded the playoffs by record and not guaranteed division winners a home game.,https://www.espn.com/nfl/story/_/id/45252578/lions-withdraw-proposal-change-nfl-playoff-seeding,newsapi
2025-05-21T13:01:00Z,Dow futures drop 300 points as bond yields move higher: Live updates - CNBC,The three major indexes are coming off a negative session.,https://www.cnbc.com/2025/05/20/stock-market-today-live-updates.html,newsapi
2025-05-21T12:56:25Z,"Sean 'Diddy' Combs trial takeaways: Cassie Ventura’s mother, a former assistant and a male escort named 'the Punisher' testify in sex trafficking case - Yahoo","The 55-year-old hip-hop mogul has been charged by federal prosecutors with sex trafficking, racketeering conspiracy and transportation to engage in...",https://www.yahoo.com/news/sean-diddy-combs-trial-takeaways-cassie-venturas-mother-a-former-assistant-and-a-male-escort-named-the-punisher-testify-in-sex-trafficking-case-191615644.html,newsapi
2025-05-21T12:49:11Z,"Target CEO says tariffs risk 'massive' costs, but price hikes a 'last resort' - ABC News",,https://abcnews.go.com/Business/target-ceo-tariffs-risk-massive-costs-price-hikes/story?id\\u003d122024999,newsapi
2025-05-21T12:32:00Z,Democratic Rep. Gerry Connolly dies at 75 - CBS News,Rep. Gerry Connolly announced last month that his cancer had returned.,https://www.cbsnews.com/news/gerry-connolly-dead-age-75-virginia-democrat/,newsapi
2025-05-21T12:23:00Z,Owners vote to allow NFL players to participate in flag football competition at 2028 LA Olympics - CNN,NFL owners voted on Tuesday to allow players in the league to participate in the flag football competition at the upcoming 2028 Olympic Games in Los Angeles.,https://www.cnn.com/2025/05/20/sport/nfl-players-olympic-flag-football-spt,newsapi
2025-05-21T12:00:00Z,The pursuit of better drugs through orbital space crystals - The Verge,"Sierra Space is getting ready to launch its reusable space plane, Dream Chaser, carrying a module to grow crystals for experimental drug research.",https://www.theverge.com/space/670339/sierra-space-crystals-merck-dream-chaser-drugs,newsapi
